comparisons/4-4-4-0.txt:107785:	 Total Cycles is 37118 
comparisons/3-4-4-0.txt:107785:	 Total Cycles is 37886 
comparisons/4-2-4-0.txt:107784:	 Total Cycles is 38208 
comparisons/4-4-2-0.txt:107785:	 Total Cycles is 39804 
comparisons/4-4-4-1.txt:107785:	 Total Cycles is 41576 
comparisons/3-4-4-1.txt:107785:	 Total Cycles is 42344 
comparisons/4-2-4-1.txt:107784:	 Total Cycles is 42664 
comparisons/4-4-2-1.txt:107785:	 Total Cycles is 44243 
comparisons/3-4-2-0.txt:107784:	 Total Cycles is 51015 
comparisons/4-2-2-0.txt:107783:	 Total Cycles is 53809 
comparisons/2-4-4-0.txt:107784:	 Total Cycles is 54020 
comparisons/4-4-1-0.txt:107783:	 Total Cycles is 54667 
comparisons/3-4-2-1.txt:107784:	 Total Cycles is 55432 
comparisons/3-2-4-0.txt:107784:	 Total Cycles is 58093 
comparisons/4-2-2-1.txt:107783:	 Total Cycles is 58224 
comparisons/2-4-4-1.txt:107784:	 Total Cycles is 58478 
comparisons/4-4-1-1.txt:107783:	 Total Cycles is 58983 
comparisons/3-2-4-1.txt:107784:	 Total Cycles is 62425 
comparisons/1-4-4-0.txt:107782:	 Total Cycles is 65188 
comparisons/4-1-4-0.txt:107761:	 Total Cycles is 65452 
comparisons/2-4-2-0.txt:107772:	 Total Cycles is 67041 
comparisons/1-4-4-1.txt:107782:	 Total Cycles is 69641 
comparisons/4-1-4-1.txt:107761:	 Total Cycles is 69776 
comparisons/2-4-2-1.txt:107772:	 Total Cycles is 71331 
comparisons/3-4-1-0.txt:107771:	 Total Cycles is 72801 
comparisons/2-2-4-0.txt:107781:	 Total Cycles is 75843 
comparisons/3-4-1-1.txt:107771:	 Total Cycles is 76882 
comparisons/3-2-2-0.txt:107781:	 Total Cycles is 78678 
comparisons/2-2-4-1.txt:107781:	 Total Cycles is 80170 
comparisons/3-2-2-1.txt:107781:	 Total Cycles is 82852 
comparisons/4-2-1-0.txt:107770:	 Total Cycles is 84769 
comparisons/2-2-2-0.txt:107765:	 Total Cycles is 85925 
comparisons/2-4-1-0.txt:107727:	 Total Cycles is 86436 
comparisons/1-4-2-0.txt:107719:	 Total Cycles is 86671 
comparisons/4-2-1-1.txt:107770:	 Total Cycles is 88849 
comparisons/1-2-4-0.txt:107756:	 Total Cycles is 89732 
comparisons/2-2-2-1.txt:107765:	 Total Cycles is 90080 
comparisons/2-4-1-1.txt:107727:	 Total Cycles is 90366 
comparisons/1-4-2-1.txt:107719:	 Total Cycles is 90919 
comparisons/1-2-4-1.txt:107756:	 Total Cycles is 93711 
comparisons/3-2-1-0.txt:107765:	 Total Cycles is 102098 
comparisons/1-4-1-0.txt:107701:	 Total Cycles is 105715 
comparisons/3-2-1-1.txt:107765:	 Total Cycles is 105988 
comparisons/3-1-4-0.txt:107747:	 Total Cycles is 107696 
comparisons/1-4-1-1.txt:107701:	 Total Cycles is 109272 
comparisons/4-1-2-0.txt:107621:	 Total Cycles is 111296 
comparisons/3-1-4-1.txt:107747:	 Total Cycles is 112025 
comparisons/4-1-2-1.txt:107621:	 Total Cycles is 115702 
comparisons/2-2-1-0.txt:107707:	 Total Cycles is 116953 
comparisons/3-1-2-0.txt:107604:	 Total Cycles is 118839 
comparisons/2-2-1-1.txt:107707:	 Total Cycles is 120518 
comparisons/3-1-2-1.txt:107604:	 Total Cycles is 123234 
comparisons/2-1-4-0.txt:107589:	 Total Cycles is 123999 
comparisons/1-2-2-0.txt:107710:	 Total Cycles is 127711 
comparisons/2-1-4-1.txt:107589:	 Total Cycles is 128159 
comparisons/1-2-2-1.txt:107710:	 Total Cycles is 130902 
comparisons/4-1-1-0.txt:107354:	 Total Cycles is 133484 
comparisons/4-1-1-1.txt:107354:	 Total Cycles is 137822 
comparisons/3-1-1-0.txt:106979:	 Total Cycles is 157787 
comparisons/3-1-1-1.txt:106979:	 Total Cycles is 162107 
comparisons/2-1-2-0.txt:106494:	 Total Cycles is 174006 
comparisons/2-1-2-1.txt:106494:	 Total Cycles is 178606 
comparisons/1-1-4-0.txt:106494:	 Total Cycles is 180432 
comparisons/1-1-4-1.txt:106494:	 Total Cycles is 184782 
comparisons/1-1-2-0.txt:106494:	 Total Cycles is 188955 
comparisons/2-1-1-0.txt:106494:	 Total Cycles is 189468 
comparisons/1-1-2-1.txt:106494:	 Total Cycles is 193305 
comparisons/2-1-1-1.txt:106494:	 Total Cycles is 193818 
comparisons/1-2-1-0.txt:106494:	 Total Cycles is 232551 
comparisons/1-2-1-1.txt:106494:	 Total Cycles is 236934 
comparisons/1-1-1-0.txt:106494:	 Total Cycles is 357525 
comparisons/1-1-1-1.txt:106494:	 Total Cycles is 357525
